code,date,type
000001,1991-04-03,4
000002,1991-01-29,4
000003,1991-07-03,4
000004,1991-01-14,4
000005,1990-12-10,4
000006,1992-04-27,4
000007,1992-04-13,4
000008,1992-05-07,4
000009,1991-06-25,4
000010,1995-10-27,4
000011,1992-03-30,4
000012,1992-02-28,4
000013,1992-05-06,4
000014,1992-06-02,4
000015,1992-06-25,4
000016,1992-03-27,4
000017,1992-03-31,4
000018,1992-06-16,4
000019,1992-10-12,4
000020,1992-04-28,4
000021,1994-02-02,4
000022,1993-05-05,4
000023,1993-04-29,4
000024,1993-06-07,4
000025,1993-06-21,4
000026,1993-06-03,4
000027,1993-09-03,4
000028,1993-08-09,4
000029,1993-09-15,4
000030,1993-09-29,4
000031,1993-10-08,4
000032,1993-10-28,4
000033,1994-01-03,4
000034,1994-05-09,4
000035,1994-04-08,4
000036,1994-06-17,4
000037,1994-07-01,4
000038,1994-08-08,4
000039,1994-04-08,4
000040,1994-08-08,4
000042,1994-09-21,4
000043,1994-09-28,4
000045,1994-08-15,4
000046,1994-09-12,4
000047,1994-10-21,4
000048,1994-11-01,4
000049,1995-03-20,4
000050,1995-03-15,4
000055,1996-04-15,4
000056,1996-07-08,4
000058,1996-12-26,4
000059,1997-01-30,4
000060,1997-01-23,4
000061,1997-01-10,4
000062,1997-01-30,4
000063,1997-11-18,4
000065,1998-06-05,4
000066,1997-06-26,4
000068,1997-06-11,4
000069,1997-09-10,4
000070,2000-05-11,4
000078,1998-12-18,4
000088,1997-07-28,4
000089,1998-04-20,4
000090,1999-07-21,4
000096,2000-07-24,4
000099,2000-07-31,4
000100,2004-01-30,4
000150,2000-08-07,4
000151,2000-09-06,4
000153,2000-09-20,4
000155,2000-09-26,4
000156,2000-09-06,4
000157,2000-10-12,4
000158,2000-07-24,4
000159,2000-09-26,4
000166,2015-01-26,4
000301,2000-05-29,4
000333,2013-09-18,4
000338,2007-04-30,4
000400,1997-04-18,4
000401,1996-06-14,4
000402,1996-06-26,4
000403,1996-06-28,4
000404,1996-06-19,4
000405,1996-06-20,4
000406,1996-06-28,4
000407,1996-07-03,4
000408,1996-06-28,4
000409,1996-06-27,4
000410,1996-07-18,4
000411,1996-07-16,4
000412,1996-07-15,4
000413,1996-09-25,4
000415,1996-07-16,4
000416,1996-07-19,4
000417,1996-08-12,4
000418,1997-03-28,4
000419,1996-08-16,4
000420,1996-08-02,4
000421,1996-08-06,4
000422,1996-08-15,4
000423,1996-07-29,4
000425,1996-08-28,4
000426,1996-08-28,4
000428,1996-08-08,4
000429,1998-02-20,4
000430,1996-08-29,4
000488,2000-11-20,4
000498,1997-06-09,4
000501,1992-11-20,4
000502,1992-11-23,4
000503,1992-11-30,4
000504,1992-12-08,4
000505,1992-12-21,4
000506,1993-03-12,4
000507,1993-03-26,4
000508,1993-04-30,4
000509,1993-05-07,4
000510,1993-05-07,4
000511,1993-05-18,4
000513,1993-10-28,4
000514,1993-07-12,4
000515,1993-07-12,4
000516,1993-08-09,4
000517,1993-08-06,4
000518,1993-09-08,4
000519,1993-10-08,4
000520,1993-10-25,4
000521,1993-10-18,4
000522,1993-11-08,4
000523,1993-11-08,4
000524,1993-11-18,4
000525,1993-10-28,4
000526,1993-11-01,4
000527,1993-11-12,4
000528,1993-11-18,4
000529,1993-11-18,4
000530,1993-12-08,4
000531,1994-01-06,4
000532,1994-01-03,4
000533,1994-01-03,4
000534,1994-01-10,4
000535,1993-11-30,4
000536,1993-11-26,4
000537,1993-12-10,4
000538,1993-12-15,4
000539,1993-11-26,4
000540,1994-02-02,4
000541,1993-11-23,4
000542,1993-12-01,4
000543,1993-12-20,4
000544,1993-12-08,4
000545,1993-12-15,4
000546,1993-12-15,4
000547,1993-11-30,4
000548,1993-12-20,4
000549,1993-12-20,4
000550,1993-12-01,4
000551,1994-01-06,4
000552,1994-01-06,4
000553,1993-12-03,4
000554,1993-12-15,4
000555,1994-04-08,4
000556,1994-05-25,4
000557,1994-06-17,4
000558,1994-05-09,4
000559,1994-01-10,4
000560,1994-02-02,4
000561,1994-05-09,4
000562,1994-02-02,4
000563,1994-01-10,4
000564,1994-01-10,4
000565,1994-04-08,4
000566,1994-05-25,4
000567,1994-05-25,4
000568,1994-05-09,4
000569,1994-04-25,4
000570,1994-07-01,4
000571,1994-05-25,4
000572,1994-08-08,4
000573,1994-08-15,4
000576,1994-09-07,4
000578,1995-03-03,4
000581,1998-09-24,4
000582,1995-11-02,4
000583,1995-11-01,4
000584,1995-11-28,4
000585,1995-12-13,4
000586,1995-12-20,4
000587,1996-04-25,4
000588,1996-01-23,4
