Stkcd,0,1,2,3
1,161056914.7,220122563.6,236606000.5,294517161.1
2,231415350.4,298450023.7,270178878.9,251622904.1
4,1330701.34,1798895.7,1759851.18,1552966.18
5,2549276.19,3988457.33,3216156.58,3364269.05
6,6984235.29,9101078.81,7345434.67,6781989.1
7,2490121.23,2239873.32,2110115.14,2588984.61
8,9893010.56,11950172.45,9751547.65,8896634.11
9,9136290.87,14223784.63,12103995.57,11218320.64
10,1702278.59,1822378.0,1728383.85,1754234.15
11,1614418.91,2052316.85,1679488.08,5048584.24
12,7082648.66,9834053.53,8129528.84,8260872.58
14,1873841.19,2487024.96,1942420.95,1896028.76
16,5172900.73,8924850.34,6705612.06,6705612.06
17,1320997.19,1630037.82,1354325.11,1445219.41
18,2110639.59,2688078.73,1363951.06,946095.2
19,2969916.1,3485699.85,2974146.73,2541273.63
20,1894989.99,2264567.39,1978326.07,2005500.88
21,8448630.62,13782287.86,11945872.93,16353610.22
22,7651584.08,,,
23,1763591.81,2177085.41,1770529.62,1852395.8
25,7183780.03,8814487.26,7941977.63,7969472.11
26,2600462.32,3192611.49,2771686.18,2753850.36
27,20813580.88,25729550.46,24579847.9,22914761.43
28,12752926.07,15845756.84,12872946.37,13383802.0
30,6494585.46,9067911.77,8203304.9,8253841.28
31,8850967.3,11898021.62,11644100.43,12278904.43
32,1961649.03,4166303.48,4084046.74,4676295.21
34,4814695.6,6386787.55,6313917.14,7689938.91
35,6661665.41,6674476.31,7686537.01,7276588.37
36,6261665.73,8432224.99,7537369.08,6106596.47
37,1613135.5,4649625.84,4476789.9,4646236.9
38,2294588.37,2559534.69,1374312.23,2773570.82
39,13410195.5,18914394.35,16252009.34,15493132.58
40,7666065.62,9606439.08,7040661.55,5375927.2
42,7428221.63,8374955.76,6574174.76,6118750.77
43,4987811.1,5854676.67,7901813.04,11342156.01
45,2646126.11,3555589.14,3221967.02,3322548.84
46,23783744.86,37934277.08,28877662.5,22355847.21
48,7014139.26,7838878.71,7603359.1,9884898.43
49,5886390.41,7173268.64,5342494.5,8363682.32
50,13743514.91,28171395.79,24458886.26,25274812.16
55,2713192.92,4646244.74,3472813.59,3181151.51
56,4274658.07,5268764.6,3931239.45,4148135.42
58,3201160.73,3862913.28,3012939.46,4460348.31
59,9500668.14,11228062.35,10236410.12,9180780.32
60,14130157.96,18019519.62,16734980.39,14415680.26
61,8220774.61,10153080.39,9189183.08,8833118.57
62,11758999.67,16015488.62,13883332.13,15105566.79
63,67274495.88,100260195.6,111693978.1,109926027.3
65,4830286.9,7037878.96,5490677.69,5352310.1
66,11806000.04,26326881.96,25604573.94,32130059.79
68,4278353.72,5989695.21,4228020.15,4087086.14
69,39015674.0,53881061.77,48769300.16,49327259.76
70,4262177.07,8728458.39,8940249.81,9387107.33
78,5532830.97,8187847.17,9124423.61,8704909.88
88,9711000.0,13090428.0,10604412.0,11400714.0
89,15975494.48,20569218.18,18231340.94,22578972.29
90,6611354.43,9945776.66,9229973.46,9622340.76
96,4725344.0,5583568.64,4893923.84,5200432.64
99,3418237.17,4721288.57,4315221.39,4448556.88
100,28490516.88,51902409.68,42272575.74,45068987.3
150,8480168.76,7109985.35,4432946.33,4489365.65
151,2729410.22,3577020.04,3145218.81,2598803.68
153,1606682.73,2133924.25,1949857.69,1906180.88
155,3373920.0,4489188.0,3983100.0,5080000.0
156,10152742.02,15606800.16,14096051.66,11983564.35
157,22363798.45,28143207.04,37790322.51,35984848.65
158,8478255.34,11109438.03,8802950.56,8722118.21
159,2030407.82,4835701.09,3643599.83,3076390.36
166,81514445.12,124389966.4,112897415.2,107714499.9
301,6651570.99,7309418.67,6688118.08,6261735.33
333,238863484.9,313492272.8,352257523.5,347572640.3
338,33189299.69,50289493.6,52156782.81,47629301.12
400,8962566.71,10686782.77,9134174.71,8529205.38
401,16678544.31,23697556.28,23724500.63,20652799.83
402,19241659.47,25633313.84,23422515.21,23004762.9
403,6679968.81,7761219.61,7245614.11,8904768.49
404,2674779.56,3327310.18,2938313.58,2688190.23
407,2781207.74,3519383.53,3389128.62,2977529.02
408,5011411.89,5373198.31,3693654.5,3934159.97
409,2295872.84,2364830.15,2324267.03,2295872.84
410,4671604.61,5915391.58,5123217.74,4945533.89
411,2620288.7,2800640.85,2692957.82,2690975.58
413,21098102.54,29379498.1,25001758.31,27628402.18
415,12772360.9,16497632.83,13905530.09,12699679.84
416,2174412.09,2785799.35,3120733.25,2934658.86
417,3373188.86,4136635.76,4043152.47,3451091.61
418,19002499.36,25013000.89,,
419,2216623.13,2819675.01,2520865.52,2314415.33
420,3159705.75,4922422.35,4940783.0,4126571.57
421,2554005.33,3075114.04,2679987.65,2468108.29
422,2594679.52,3950377.13,2828110.9,2603657.65
423,25860452.23,31026004.0,26036996.4,19929875.7
425,22589208.35,30771677.02,31194054.91,30983309.09
426,6625670.35,8328653.89,7143581.55,6962466.09
428,2526833.44,3352129.84,3005709.13,2679666.1
429,3933693.64,4257483.28,3541587.33,10057405.96
430,1605615.79,2242554.29,1867689.44,1771485.19
488,9296641.38,11202370.0,8886903.27,7851923.77
498,2229942.0,2679456.0,5947626.46,5309180.68
501,6422168.81,8136102.04,8257440.09,7762025.85
502,1393451.31,1705144.37,1420953.64,1221090.73
503,14272625.32,25120899.1,15423063.63,15764600.01
504,3874094.82,5060866.44,3507500.44,2752564.56
505,2241825.49,2587034.12,2643892.02,2209335.26
506,2498124.89,3352502.17,3640390.17,2665285.66
507,5096148.93,6107657.28,4764127.1,4200462.15
509,2228795.66,2501204.02,2261814.85,2030680.49
510,2159453.09,2906744.74,2505624.96,2175937.46
513,11525040.59,16033120.81,15208314.25,15806935.88
514,3079764.02,4168228.57,4066976.05,3358208.44
516,9566633.17,11808510.84,9799328.33,9645008.2
517,7012570.52,9684025.96,9319736.59,8014267.31
518,3562193.5,4210800.98,3675442.42,3201856.01
519,4624250.51,6453927.54,7209365.65,7545118.77
520,2914800.35,3997729.65,3471446.25,4159663.0
521,2375519.86,3121996.88,2857148.82,2599169.39
523,2112798.39,3579997.14,3423254.7,3253627.17
524,1879352.43,2200748.94,2279736.21,2080383.02
525,7112972.79,8712970.8,7356733.36,6031188.08
526,1754598.75,2619392.76,2017211.39,2526083.51
528,8878230.74,11393973.22,9741067.66,9156018.55
529,2553082.01,3681453.08,3379414.36,3470595.86
530,1978114.37,2851257.85,2594226.22,2474676.62
531,3466508.43,4891491.33,4788728.91,4480441.64
532,3390181.61,4187063.21,3517270.49,3252788.23
533,1732803.07,2424554.5,1958820.86,1705406.98
534,5129854.71,5080718.17,4245610.52,4967807.89
536,3746252.46,6791334.68,5048425.78,5529241.65
537,3040534.15,3738760.95,2809145.03,2585874.84
538,77021384.12,89039052.77,86872956.51,46311851.6
539,11824589.6,12590761.71,10981800.27,9960237.46
540,,30055551.54,24916182.34,21907223.31
541,5554198.27,6411989.51,5618532.61,5392519.87
543,8575996.73,9614426.4,8432765.06,7806126.46
544,2644766.94,3239448.26,3948892.65,6393930.24
545,3002931.69,3722484.01,3789642.23,2993337.66
546,5724469.73,6590411.45,6438706.58,6458942.28
547,7338119.1,12139925.67,10598875.75,11547621.38
548,2186500.58,2625797.5,2221444.65,2031618.33
550,6615130.56,11763112.26,10052302.63,8419255.45
551,2324467.15,2972597.41,2692541.13,2588520.22
552,3987043.14,4874783.21,6188938.82,5618003.5
553,2229687.4,4188704.47,3901208.68,4226922.65
554,1856766.53,2378982.12,2168645.28,1798742.58
555,8732099.85,12275425.17,10639325.09,11739430.03
557,2007391.08,2762357.41,2282456.33,1954719.01
558,3736107.64,5848940.92,4625427.28,4509469.49
559,14096124.79,18556226.78,16463833.26,14261313.76
560,5275114.92,12434279.89,8593248.7,7820214.13
561,3332294.36,4443059.14,4098543.86,4003505.16
563,10623554.43,21009268.08,17600217.04,16292092.8
564,4778506.8,6875005.82,4929605.83,4721844.66
565,1847102.86,2558194.1,2540850.41,2280695.08
566,5648360.92,9086398.28,7714412.32,7437608.13
567,1671992.52,2002782.41,1788355.77,1844622.23
568,59367881.29,97213810.54,118020311.0,124430173.2
570,1538539.98,2279013.77,2098009.06,1892321.9
571,2766180.35,2798439.01,1721637.07,1878373.17
572,3497779.98,4318855.09,3267888.9,3037987.16
573,1897627.66,2264709.73,2099706.31,1780347.35
576,2613518.32,4183749.27,3971089.82,3428155.19
581,14772413.24,19314553.89,15525263.51,13701714.24
582,1852753.37,2468583.32,2368576.75,2300151.2
584,3839012.86,5456641.24,4319840.98,3984784.06
585,1243218.8,1749038.21,1334631.94,1139617.23
586,2238100.8,2050464.0,2365771.2,2300001.6
587,2850577.85,3820987.33,3129570.57,2510934.53
589,2597614.31,3194677.89,3248956.4,3427216.01
590,1696595.33,3844127.83,2569448.97,2361839.28
591,6029812.83,8433589.57,6681684.49,6416861.63
592,5110211.57,7483493.34,6698779.21,5263017.14
593,1804660.73,2025696.7,2509382.18,2211841.15
595,1911351.65,2686427.32,2226104.85,2578543.15
596,20699056.0,41237000.0,45460436.0,44114000.0
597,4809523.77,6220191.18,6071680.0,6317228.18
598,12034460.97,13885916.5,13587294.64,14303987.1
599,2495821.54,3738628.58,3454584.93,3462288.85
600,5472021.51,8742153.89,7303295.64,5875337.84
601,4016975.25,5021219.07,5172395.55,6403404.1
603,3932468.77,4219538.99,5179100.08,7987505.05
605,2590651.3,3172114.66,2213928.56,1968239.82
606,3088687.76,4111328.91,3401377.49,4045193.19
607,3583682.87,4751698.03,5282614.01,4185296.48
608,3674029.11,5211122.92,4123910.22,3921463.72
609,1523957.74,1851296.94,1562214.3,1328480.44
610,1762271.85,3601649.42,2336014.29,2321876.2
611,1772380.98,1338067.81,1082589.47,1187974.28
612,4710230.92,6078101.01,6352404.94,5137347.14
613,1984372.63,2008280.74,1580591.32,1284183.98
615,3418410.16,4969602.83,3469406.94,3359982.23
616,3446816.76,5005750.49,4247796.24,3575586.06
617,3091046.4,3985293.31,3553984.51,3556859.9
619,1868400.0,2322000.0,1976400.0,1922400.0
620,7416021.42,8914399.15,7851893.45,8629595.72
622,3193447.26,2823500.64,2317481.7,1968796.38
623,16143201.32,20372049.95,18336551.52,17587221.5
625,24784206.22,31140095.23,24934641.47,27868128.7
626,2605591.8,3455241.3,3398598.0,3423924.43
627,11416445.59,29347290.27,27927260.09,30337060.61
628,1855365.96,2052745.31,1968154.16,1815890.08
629,14301417.08,16971014.93,16160601.29,14253745.68
630,18834301.56,24475031.47,23518975.55,20746411.41
631,7224581.93,8854369.77,7297557.5,6835378.86
632,1796773.47,2229674.86,2625337.41,2899973.77
633,1767638.25,2256723.35,1944787.18,1586628.99
635,2576244.62,3015721.64,2615646.01,2330743.66
636,9402342.7,13929360.41,10831957.64,12810356.52
637,1374356.13,1795825.34,1704201.6,1630902.6
638,1717170.0,2345252.0,1676948.0,1494402.0
639,3380018.22,7972347.5,6584511.38,5424797.57
650,6784212.71,8207906.98,8510634.58,7873222.28
651,213062724.9,281835002.6,328389469.5,342076367.5
652,4437118.31,6707271.86,5778572.68,5041509.84
655,2006296.58,3179116.83,3720876.44,3060048.78
656,32585843.21,38267672.55,31610145.95,34421881.6
657,2413856.81,3030932.99,3176127.38,5646699.77
659,5271380.33,4474244.77,3947106.74,3432825.73
661,29741783.58,53890787.1,57462651.95,67049913.38
662,2312963.11,2672258.35,5082360.39,4765395.98
663,1328208.0,1862075.52,1930631.77,1377201.0
665,4554897.17,6030785.64,5667548.42,5279737.74
666,3164132.3,4094586.79,3654308.64,3586799.32
667,6349795.83,7111771.33,6679985.21,6974846.7
668,1452215.09,1877611.43,2370484.43,2242865.53
669,3919128.6,4307691.77,3101806.05,2679111.91
670,1906780.58,3549729.89,1368381.41,1422396.47
671,16822703.23,33165265.79,25737835.0,23434139.9
672,6866835.24,9250701.03,9982988.82,10830134.66
673,3692536.69,4109816.95,3020585.16,2289580.04
676,3008879.41,3352990.08,4570399.54,3903408.98
677,2246342.66,3896540.55,2833847.67,2721530.54
678,2145398.99,3771611.42,3312496.03,3125360.22
679,1371949.89,1799570.64,1400457.94,1300679.77
680,3456132.22,4333376.78,4375689.92,3678116.16
681,7239987.2,8183793.42,6016764.66,13527693.04
682,3237236.67,5985464.77,4596706.9,4665168.49
683,6768622.48,8510757.38,9233610.04,8172275.55
685,8772609.36,10852971.0,10702583.41,9963177.77
686,14651235.25,23825810.67,20619390.18,19027882.2
687,5345337.08,6971524.13,5315222.5,5322142.41
688,13124384.23,13818134.18,12123564.64,11657273.69
690,13723778.28,16680610.15,13396719.07,12879878.17
691,1330427.25,1493099.58,1167754.93,1109657.67
692,1363931.85,1800816.27,1640980.51,1529095.48
693,,,98118.84,
695,1995492.05,2396807.67,1940061.72,1833635.47
697,5622305.99,6420954.78,5091335.56,5958022.72
698,2859885.17,3480574.53,3182015.09,3119168.09
