"year","marital","age","race","rincome","partyid","relig","denom","tvhours"
2000,"Never married",26,"White","$8000 to 9999","Ind,near rep","Protestant","Southern baptist",12
2000,"Divorced",48,"White","$8000 to 9999","Not str republican","Protestant","Baptist-dk which",NA
2000,"Widowed",67,"White","Not applicable","Independent","Protestant","No denomination",2
2000,"Never married",39,"White","Not applicable","Ind,near rep","Orthodox-christian","Not applicable",4
2000,"Divorced",25,"White","Not applicable","Not str democrat","None","Not applicable",1
2000,"Married",25,"White","$20000 - 24999","Strong democrat","Protestant","Southern baptist",NA
2000,"Never married",36,"White","$25000 or more","Not str republican","Christian","Not applicable",3
2000,"Divorced",44,"White","$7000 to 7999","Ind,near dem","Protestant","Lutheran-mo synod",NA
2000,"Married",44,"White","$25000 or more","Not str democrat","Protestant","Other",0
2000,"Married",47,"White","$25000 or more","Strong republican","Protestant","Southern baptist",3
2000,"Married",53,"White","$25000 or more","Not str democrat","Protestant","Other",2
2000,"Married",52,"White","$25000 or more","Ind,near rep","None","Not applicable",NA
2000,"Married",52,"White","$25000 or more","Strong democrat","Protestant","Southern baptist",1
2000,"Married",51,"White","$25000 or more","Strong republican","Protestant","United methodist",NA
2000,"Divorced",52,"White","$25000 or more","Ind,near dem","None","Not applicable",1
2000,"Married",40,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",7
2000,"Widowed",77,"White","Not applicable","Strong republican","Jewish","Not applicable",NA
2000,"Never married",44,"White","$25000 or more","Independent","None","Not applicable",3
2000,"Married",40,"White","$10000 - 14999","Not str democrat","Catholic","Not applicable",3
2000,"Married",45,"Black","Not applicable","Independent","Protestant","United methodist",NA
2000,"Married",48,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",1
2000,"Married",49,"White","Refused","Strong republican","Protestant","United methodist",2
2000,"Never married",19,"White","Not applicable","Independent","None","Not applicable",2
2000,"Widowed",54,"White","$25000 or more","Ind,near rep","Christian","Not applicable",1
2000,"Widowed",82,"White","Not applicable","Not str democrat","Protestant","Other",3
2000,"Widowed",83,"White","Not applicable","Strong democrat","Protestant","Episcopal",NA
2000,"Widowed",89,"White","Not applicable","Not str democrat","Protestant","Other lutheran",4
2000,"Widowed",88,"White","Not applicable","Strong republican","Protestant","Afr meth ep zion",NA
2000,"Divorced",72,"White","Not applicable","Strong democrat","Protestant","Southern baptist",7
2000,"Widowed",82,"White","Not applicable","Independent","Protestant","Am bapt ch in usa",NA
2000,"Widowed",89,"White","Not applicable","Ind,near rep","Protestant","Other methodist",3
2000,"Married",34,"White","Refused","Not str democrat","Catholic","Not applicable",NA
2000,"Married",55,"Black","Not applicable","Not str democrat","Protestant","Other",1
2000,"Never married",37,"White","$25000 or more","Independent","None","Not applicable",NA
2000,"Married",22,"White","$10000 - 14999","Ind,near dem","Protestant","Other",NA
2000,"Never married",33,"Other","$20000 - 24999","Not str democrat","Christian","Not applicable",NA
2000,"Never married",37,"White","$25000 or more","Ind,near dem","None","Not applicable",1
