countey,2019ÄêÈË¾ùGDP,Life satisfaction
Australia,"52,725.75",7.3
Austria,"58,849.55",7.1
Belgium,"54,028.79",6.9
Canada,"51,190.13",7.4
Czech Republic,"42,669.92",6.7
Denmark,"59,719.02",7.6
Finland,"50,748.17",7.6
France,"49,798.55",6.5
Germany,"56,226.22",7
Greece,"31,572.12",5.4
Hungary,"33,991.88",5.6
Iceland,"58,965.05",7.5
Ireland,"91,958.85",7
Italy,"44,160.77",6
Japan,"43,193.86",5.9
Korea,"44,573.06",5.9
Luxembourg,"120,490.33",6.9
Mexico,"20,583.06",6.5
Netherlands,"59,693.37",7.4
New Zealand,"43,809.04",7.3
Norway,"66,214.05",7.6
Poland,"34,483.87",6.1
Portugal,"36,246.02",5.4
Slovak Republic,"34,202.35",6.2
Spain,"43,153.55",6.3
Sweden,"55,264.97",7.3
Switzerland,"72,008.02",7.5
Turkey,"29,723.53",5.5
United Kingdom,"48,727.41",6.8
United States,"65,253.52",6.9
Brazil,"15,336.84",6.4
Chile,"25,057.07",6.5
Estonia,"38,540.11",5.7
Israel,"41,785.56",7.2
Latvia,"32,013.65",5.9
Russia,"28,184.12",5.8
Slovenia,"40,716.55",5.9
South Africa,"12,961.70",4.7
OECD - Total,"47,074.22",6.5
