This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202108 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.44,   -0.89,    0.68,   -1.23,    0.27
196308,    5.07,   -0.75,    1.68,    0.36,   -0.34,    0.25
196309,   -1.57,   -0.55,    0.08,   -0.71,    0.29,    0.27
196310,    2.53,   -1.37,   -0.14,    2.80,   -2.02,    0.29
196311,   -0.85,   -0.89,    1.81,   -0.51,    2.31,    0.27
196312,    1.83,   -2.07,   -0.08,    0.03,   -0.04,    0.29
196401,    2.24,    0.11,    1.47,    0.17,    1.51,    0.30
196402,    1.54,    0.30,    2.74,   -0.05,    0.90,    0.26
196403,    1.41,    1.36,    3.36,   -2.21,    3.19,    0.31
196404,    0.10,   -1.59,   -0.58,   -1.27,   -1.04,    0.29
196405,    1.42,   -0.64,    1.82,   -0.16,    0.14,    0.26
196406,    1.27,    0.31,    0.63,   -0.28,   -0.15,    0.30
196407,    1.74,    0.47,    0.75,    0.04,    1.94,    0.30
196408,   -1.44,    0.42,    0.08,    0.15,    0.33,    0.28
196409,    2.69,   -0.33,    1.70,   -0.54,    0.61,    0.28
196410,    0.59,    0.91,    1.17,   -0.38,    0.43,    0.29
196411,    0.00,   -0.15,   -1.96,    0.62,   -0.26,    0.29
196412,    0.03,   -0.70,   -2.48,    1.04,   -1.48,    0.31
196501,    3.54,    2.44,    0.12,    0.89,    0.10,    0.28
196502,    0.44,    3.29,    0.11,    0.20,   -0.65,    0.30
196503,   -1.34,    2.11,    1.03,   -0.36,    0.72,    0.36
196504,    3.11,    1.11,    0.66,    0.41,   -2.27,    0.31
196505,   -0.77,    0.13,   -1.61,   -0.40,    0.50,    0.31
196506,   -5.51,   -4.28,    0.59,    0.21,    0.37,    0.35
196507,    1.43,    1.07,    2.14,   -1.37,    0.03,    0.31
196508,    2.73,    2.71,   -1.02,    1.90,   -0.74,    0.33
196509,    2.86,    0.62,   -0.12,   -0.89,    0.80,    0.31
196510,    2.60,    3.47,    1.57,    1.17,   -0.65,    0.31
196511,   -0.03,    5.18,    0.10,   -1.01,   -0.94,    0.35
196512,    1.01,    2.66,    2.02,   -1.14,   -0.53,    0.33
196601,    0.72,    4.67,    3.53,   -2.82,   -0.11,    0.38
196602,   -1.21,    4.71,    0.29,   -0.17,   -1.49,    0.35
196603,   -2.51,    0.32,   -2.00,    1.30,    0.06,    0.38
196604,    2.14,    3.34,   -0.47,    0.39,   -0.95,    0.34
196605,   -5.66,   -5.10,   -1.61,    1.64,   -1.52,    0.41
196606,   -1.44,    1.37,    0.49,    0.15,    0.78,    0.38
196607,   -1.63,   -0.48,    0.99,   -0.40,    1.82,    0.35
196608,   -7.91,   -3.14,    0.44,   -0.12,    0.79,    0.41
196609,   -1.06,   -1.14,    0.51,   -1.79,    2.33,    0.40
196610,    3.86,   -6.45,    2.68,   -3.48,    4.24,    0.45
196611,    1.40,    3.47,   -4.77,    4.15,   -6.69,    0.40
196612,    0.13,    2.16,   -1.32,    0.64,   -0.45,    0.40
196701,    8.15,    9.07,    2.25,    0.93,   -3.13,    0.43
196702,    0.78,    3.05,   -2.18,    2.05,   -0.96,    0.36
196703,    3.99,    1.73,    0.54,    0.98,   -1.45,    0.39
196704,    3.89,    0.42,   -2.45,    2.38,   -3.64,    0.32
196705,   -4.33,    2.19,    1.18,   -1.70,    1.81,    0.33
196706,    2.41,    6.41,    0.85,   -0.64,   -2.41,    0.27
196707,    4.58,    3.52,    2.72,    0.52,    2.70,    0.31
196708,   -0.89,    0.67,    1.52,    0.36,    1.45,    0.31
196709,    3.11,    2.42,   -2.42,    0.23,   -0.95,    0.32
196710,   -3.09,    0.47,   -3.22,    1.07,   -2.62,    0.39
196711,    0.37,   -0.06,   -1.69,    1.35,   -2.34,    0.36
196712,    3.05,    5.78,   -0.63,   -0.82,    0.13,    0.33
196801,   -4.06,    4.48,    4.84,   -4.59,    6.46,    0.40
196802,   -3.75,   -2.92,    1.33,   -0.14,    2.45,    0.39
196803,    0.20,   -1.60,   -0.59,    1.06,   -1.10,    0.38
196804,    9.05,    6.18,   -1.17,    2.70,   -3.65,    0.43
196805,    2.28,    7.10,    0.66,    0.31,   -1.92,    0.45
196806,    0.69,   -0.36,    0.83,   -1.31,    2.76,    0.43
196807,   -2.72,   -1.42,    5.39,   -3.14,    3.64,    0.48
196808,    1.34,    2.26,    1.00,   -0.70,    0.45,    0.42
196809,    4.03,    2.84,    0.30,   -1.99,    0.88,    0.43
196810,    0.42,   -0.38,    2.86,   -1.32,    2.53,    0.44
196811,    5.43,    2.41,   -0.93,    0.43,   -2.26,    0.42
196812,   -3.94,    3.56,   -0.01,   -1.86,    1.70,    0.43
196901,   -1.25,   -0.45,    1.68,   -1.55,    1.37,    0.53
196902,   -5.84,   -4.17,    0.90,    2.07,    0.78,    0.46
196903,    2.64,   -0.42,   -0.52,   -1.42,   -0.46,    0.46
196904,    1.46,   -0.83,   -0.03,    0.41,    0.23,    0.53
196905,   -0.10,   -0.11,    0.72,   -0.95,    1.25,    0.48
196906,   -7.18,   -5.50,   -1.09,    4.32,   -1.53,    0.51
196907,   -7.00,   -3.39,    1.18,    1.45,    1.93,    0.53
196908,    4.68,    0.66,   -3.77,    1.17,   -4.04,    0.50
196909,   -2.98,    1.24,   -3.19,    3.45,   -0.77,    0.62
196910,    5.06,    3.91,   -3.10,    0.12,   -2.14,    0.60
196911,   -3.79,   -2.45,   -1.21,    1.45,    0.28,    0.52
196912,   -2.63,   -3.77,   -2.84,    2.54,   -1.78,    0.64
197001,   -8.10,    3.13,    3.12,   -1.71,    3.85,    0.60
197002,    5.13,   -2.74,    3.93,   -2.32,    2.74,    0.62
197003,   -1.06,   -2.40,    3.99,   -1.01,    4.32,    0.57
197004,  -11.00,   -6.37,    6.17,   -0.69,    6.26,    0.50
197005,   -6.92,   -4.45,    3.32,   -1.25,    3.92,    0.53
197006,   -5.79,   -2.21,    0.60,    0.13,    2.97,    0.58
197007,    6.93,   -0.62,    0.91,   -0.25,    1.81,    0.52
197008,    4.49,    1.53,    1.27,    0.56,   -0.19,    0.53
197009,    4.18,    8.50,   -5.52,    0.30,   -5.84,    0.54
197010,   -2.28,   -4.43,    0.21,    1.71,    2.32,    0.46
197011,    4.60,   -3.86,    1.70,    1.56,    1.48,    0.46
197012,    5.72,    2.93,    0.99,    0.24,    0.29,    0.42
197101,    4.84,    7.54,    1.48,   -1.99,    0.06,    0.38
197102,    1.41,    2.04,   -1.27,    0.58,   -0.69,    0.33
197103,    4.13,    2.26,   -4.03,    1.83,   -2.70,    0.30
197104,    3.15,   -0.35,    0.81,   -1.46,    0.89,    0.28
197105,   -3.98,   -1.11,   -1.41,    1.39,    0.24,    0.29
197106,   -0.10,   -1.49,   -1.94,    1.55,   -1.65,    0.37
197107,   -4.50,   -1.42,   -0.01,    0.57,    1.49,    0.40
197108,    3.79,   -0.15,    2.64,   -0.45,    2.63,    0.47
197109,   -0.85,    0.28,   -2.91,    2.55,   -1.59,    0.37
197110,   -4.42,   -1.59,   -0.48,    1.58,   -1.38,    0.37
197111,   -0.46,   -2.87,   -1.70,    2.41,   -0.33,    0.37
197112,    8.71,    3.25,   -0.41,   -0.39,   -1.73,    0.37
197201,    2.49,    6.12,    2.27,   -1.68,    0.52,    0.29
197202,    2.87,    0.89,   -2.77,    1.63,   -0.53,    0.25
197203,    0.63,   -0.47,   -1.63,    1.61,   -0.15,    0.27
197204,    0.29,    0.20,    0.10,   -0.45,   -1.00,    0.29
197205,    1.25,   -3.12,   -2.72,    2.38,   -1.92,    0.30
197206,   -2.43,   -0.47,   -2.49,    1.81,   -0.34,    0.29
197207,   -0.80,   -2.77,    0.66,    1.14,   -0.65,    0.31
197208,    3.26,   -3.48,    4.53,   -1.95,    2.88,    0.29
197209,   -1.14,   -2.22,    0.47,    1.72,   -1.97,    0.34
197210,    0.52,   -2.54,    1.35,   -0.15,   -0.02,    0.40
197211,    4.60,   -0.63,    4.83,   -1.98,    3.34,    0.37
197212,    0.62,   -1.90,   -2.19,    2.58,   -2.15,    0.37
197301,   -3.29,   -2.82,    2.68,    0.38,    0.90,    0.44
197302,   -4.85,   -3.90,    1.60,   -0.25,    0.02,    0.41
197303,   -1.30,   -2.33,    2.62,   -1.04,    0.64,    0.46
197304,   -5.68,   -2.95,    5.42,   -1.65,    2.73,    0.52
197305,   -2.94,   -6.18,    0.41,    1.94,   -1.51,    0.51
197306,   -1.57,   -2.51,    1.19,   -0.27,    0.21,    0.51
197307,    5.05,    7.26,   -5.26,   -0.05,   -3.27,    0.64
197308,   -3.82,   -1.79,    1.06,   -1.28,    1.29,    0.70
197309,    4.75,    3.57,    2.24,   -2.30,    1.75,    0.68
197310,   -0.83,   -0.30,    1.60,   -1.83,    2.68,    0.65
197311,  -12.75,   -7.27,    3.99,   -2.58,    1.69,    0.56
197312,    0.61,   -4.66,    3.94,   -2.69,    2.41,    0.64
197401,   -0.17,   10.39,    6.00,   -3.18,    4.48,    0.63
197402,   -0.47,    0.12,    2.50,   -1.87,    2.62,    0.58
197403,   -2.81,    2.61,   -0.12,    2.79,    0.45,    0.56
197404,   -5.29,   -0.69,    0.87,    2.88,    2.08,    0.75
197405,   -4.68,   -3.08,   -2.07,    4.93,   -0.40,    0.75
197406,   -2.83,    0.02,    0.79,    0.62,    2.90,    0.60
197407,   -8.05,    1.92,    5.17,   -3.26,    4.60,    0.70
197408,   -9.35,    0.26,    2.64,   -0.28,    2.60,    0.60
197409,  -11.77,    1.48,    5.59,   -4.43,    5.92,    0.81
197410,   16.10,   -6.82,   -9.88,   -0.22,   -2.87,    0.51
197411,   -4.51,   -1.48,   -0.20,   -3.35,    2.94,    0.54
197412,   -3.45,   -4.35,    0.11,   -0.69,    3.26,    0.70
197501,   13.66,   12.92,    8.27,   -0.76,   -0.92,    0.58
197502,    5.56,   -0.65,   -4.44,    1.15,   -2.12,    0.43
197503,    2.66,    3.99,    2.39,    1.23,   -1.31,    0.41
197504,    4.23,   -0.72,   -1.13,    1.42,   -1.35,    0.44
197505,    5.19,    2.89,   -4.10,   -0.99,   -0.61,    0.44
197506,    4.83,    1.42,    1.40,   -2.66,    1.10,    0.41
197507,   -6.59,    3.44,    1.69,    0.46,    1.23,    0.48
197508,   -2.85,   -2.84,   -0.94,    1.12,   -0.93,    0.48
197509,   -4.26,    0.05,    0.43,    0.53,    0.55,    0.53
197510,    5.31,   -4.22,    0.27,   -0.48,    2.20,    0.56
197511,    2.64,   -1.10,    2.05,   -0.68,    1.78,    0.41
197512,   -1.60,   -0.05,    1.69,   -0.09,    0.58,    0.48
197601,   12.16,    6.32,    8.57,   -1.79,    2.27,    0.47
197602,    0.32,    7.98,    5.82,   -2.60,    3.83,    0.34
197603,    2.32,   -1.39,   -0.11,   -0.33,    0.94,    0.40
197604,   -1.49,    0.08,   -0.14,    0.40,   -1.08,    0.42
197605,   -1.34,   -1.10,   -1.35,    2.45,   -1.40,    0.37
197606,    4.05,   -1.07,    0.69,   -0.67,    1.01,    0.43
197607,   -1.07,    0.63,    1.73,   -1.05,    0.28,    0.47
197608,   -0.56,   -1.98,    0.81,   -0.41,   -0.55,    0.42
197609,    2.07,    0.10,   -0.29,    0.98,   -1.15,    0.44
197610,   -2.42,    0.13,   -0.18,   -0.19,   -0.37,    0.41
197611,    0.36,    2.66,    1.51,   -1.41,    0.09,    0.40
197612,    5.65,    3.64,    2.27,   -0.62,    2.28,    0.40
197701,   -4.05,    5.90,    4.27,   -0.51,    1.97,    0.36
197702,   -1.94,    1.07,    0.47,   -0.16,   -0.22,    0.35
197703,   -1.37,    1.31,    1.09,   -0.30,   -0.06,    0.38
197704,    0.15,    0.61,    3.38,   -2.02,    1.14,    0.38
197705,   -1.45,    1.31,    0.85,    0.33,    0.19,    0.37
197706,    4.71,    2.08,   -0.74,    0.91,   -1.20,    0.40
197707,   -1.69,    1.88,   -0.57,    0.74,    0.09,    0.42
197708,   -1.75,    0.86,   -2.73,    0.99,   -0.69,    0.44
197709,   -0.27,    1.43,   -0.46,    1.45,   -0.84,    0.43
197710,   -4.38,    1.48,    1.81,   -0.19,   -0.29,    0.49
197711,    4.00,    3.64,    0.23,   -0.13,    0.71,    0.50
197712,    0.27,    1.59,   -0.30,    0.91,   -0.69,    0.49
197801,   -6.01,    2.72,    3.36,   -1.70,    1.52,    0.49
