dateff,mktrf,smb,hml,rf,umd
19260731,0.029600,-0.023000,-0.028700,0.00220,
19260831,0.026400,-0.014000,0.041900,0.00250,
19260930,0.003600,-0.013200,0.000100,0.00230,
19261030,-0.032400,0.000400,0.005100,0.00320,
19261130,0.025300,-0.002000,-0.003500,0.00310,
19261231,0.026200,-0.000400,-0.000200,0.00280,
19270131,-0.000600,-0.005600,0.048300,0.00250,0.004400
19270228,0.041800,-0.001000,0.031700,0.00260,-0.020100
19270331,0.001300,-0.016000,-0.026700,0.00300,0.035900
19270430,0.004600,0.004300,0.006000,0.00250,0.041900
19270531,0.054400,0.014100,0.049300,0.00300,0.030100
19270630,-0.023400,0.004700,-0.015300,0.00260,0.005100
19270730,0.072600,-0.032300,-0.011600,0.00300,0.043200
19270831,0.019700,-0.007200,-0.036900,0.00280,0.011200
19270930,0.047600,-0.035700,-0.007100,0.00210,0.019300
19271031,-0.043100,0.021300,-0.043300,0.00250,-0.011100
19271130,0.065800,0.027600,-0.003100,0.00210,-0.006800
19271231,0.020900,0.009300,-0.010600,0.00220,0.031900
19280131,-0.006800,0.042500,-0.007200,0.00250,-0.006000
19280229,-0.017000,-0.020300,-0.006900,0.00330,-0.010200
19280331,0.088100,-0.002600,-0.012000,0.00290,0.048700
19280430,0.042300,0.038200,0.036700,0.00220,-0.056500
19280531,0.015200,0.029800,-0.034600,0.00320,0.028500
19280630,-0.048500,-0.035000,-0.000600,0.00310,0.020500
19280731,0.006200,-0.013500,-0.004700,0.00320,0.027500
19280831,0.066800,-0.020700,-0.021100,0.00320,0.036200
19280929,0.028800,0.021800,0.007600,0.00270,0.036200
19281031,0.013300,0.022700,-0.022600,0.00410,0.050500
19281130,0.118100,-0.018100,0.028000,0.00380,0.019300
19281231,0.003600,-0.008500,-0.006000,0.00060,0.017100
19290131,0.046600,-0.035400,-0.012100,0.00340,0.024700
19290228,-0.003400,-0.003900,0.016800,0.00360,0.030900
19290328,-0.008900,-0.047800,0.015600,0.00340,-0.009200
19290430,0.014300,-0.009900,0.006100,0.00360,0.018900
19290531,-0.063900,-0.054600,-0.015700,0.00440,-0.020400
19290629,0.097000,-0.021700,-0.027600,0.00520,0.087900
19290731,0.044600,-0.038800,0.026600,0.00330,0.029400
19290830,0.081800,-0.095200,0.000600,0.00400,0.046300
19290930,-0.054700,0.011700,-0.006300,0.00350,0.030400
19291031,-0.201200,-0.040800,0.078500,0.00460,0.040900
19291127,-0.127400,-0.019100,0.053300,0.00370,-0.020200
19291231,0.013300,-0.042000,-0.005900,0.00370,0.051500
19300131,0.056100,0.035800,-0.010100,0.00140,-0.050400
19300228,0.025000,0.001200,0.003900,0.00300,0.004200
19300331,0.071000,0.034400,0.001500,0.00350,-0.041800
19300430,-0.020600,-0.001700,-0.008400,0.00210,0.039400
19300529,-0.016600,-0.020400,-0.006300,0.00260,-0.000100
19300630,-0.162700,-0.032200,0.020000,0.00270,0.066100
19300731,0.041200,-0.003700,-0.015600,0.00200,-0.021600
19300829,0.003000,-0.022200,-0.007800,0.00090,0.039500
19300930,-0.127500,-0.022200,-0.052700,0.00220,0.114400
19301031,-0.087800,-0.001000,-0.013500,0.00090,0.069500
19301129,-0.030400,0.022100,-0.035300,0.00130,-0.011700
19301231,-0.078300,-0.046800,-0.053900,0.00140,0.132900
19310131,0.062400,0.038100,0.072100,0.00150,-0.109400
19310228,0.108800,0.033900,0.016000,0.00040,-0.143700
19310331,-0.064300,0.030700,-0.036500,0.00130,0.095500
19310430,-0.099800,-0.046100,-0.039200,0.00080,0.114200
19310529,-0.132400,0.051600,-0.065700,0.00090,0.090300
19310630,0.139000,-0.053800,0.113000,0.00080,-0.178500
19310731,-0.066200,0.014300,-0.021000,0.00060,0.080500
19310831,0.004100,-0.019700,-0.014900,0.00030,-0.035200
19310930,-0.291300,0.005600,-0.067500,0.00030,0.101800
19311031,0.080400,-0.018700,0.017000,0.00100,0.032800
19311130,-0.090800,0.043000,-0.050500,0.00170,0.076100
19311231,-0.135300,-0.005600,-0.088600,0.00120,0.141700
19320130,-0.015800,0.039400,0.090400,0.00230,-0.103200
19320229,0.054600,-0.027700,-0.014500,0.00230,0.016200
19320331,-0.112100,0.022700,-0.023200,0.00160,0.103300
19320430,-0.179600,0.014400,0.014200,0.00110,0.069500
19320531,-0.205100,0.037200,-0.032800,0.00060,0.122000
19320630,-0.007000,0.003500,0.053200,0.00020,0.021000
19320730,0.338400,-0.044400,0.354600,0.00030,-0.439400
19320831,0.370600,0.142900,0.330300,0.00030,-0.522600
19320930,-0.029400,-0.024300,-0.068200,0.00030,0.024400
19321031,-0.131700,-0.027600,-0.100400,0.00020,0.042900
19321130,-0.058800,0.020800,-0.132800,0.00020,-0.020900
19321231,0.044000,-0.082700,-0.081700,0.00010,0.052600
19330131,0.012500,0.006900,0.062300,0.00010,-0.015300
19330228,-0.152400,-0.027500,-0.027300,-0.00030,0.041900
19330331,0.032900,0.039000,0.073800,0.00040,0.023500
19330429,0.388500,0.045600,0.174300,0.00100,-0.159500
19330531,0.214300,0.367000,0.190300,0.00040,-0.039200
19330630,0.131100,0.086700,-0.018800,0.00020,0.035400
19330731,-0.096300,-0.010100,0.032700,0.00020,0.004100
19330831,0.120500,-0.054500,0.029600,0.00030,0.075100
19330930,-0.106500,-0.003200,-0.117700,0.00020,0.016500
19331031,-0.083600,-0.000800,-0.084600,0.00010,-0.022800
19331129,0.099700,-0.064800,0.023300,0.00020,0.063500
19331230,0.018300,0.006600,-0.015300,0.00020,0.039600
19340131,0.126000,0.125300,0.155400,0.00050,-0.031000
19340228,-0.025000,0.051900,0.021200,0.00020,-0.002500
19340331,0.000900,0.025100,-0.027300,0.00020,-0.008600
19340430,-0.017900,0.028000,-0.037500,0.00010,-0.051200
19340531,-0.072500,-0.002600,-0.059100,0.00010,-0.028300
19340630,0.026400,-0.021400,-0.029200,0.00010,-0.009600
19340731,-0.109600,-0.069400,-0.106600,0.00010,0.087300
19340831,0.055800,0.054200,0.005000,0.00010,0.024100
19340929,-0.002300,-0.015200,-0.012400,0.00010,-0.001000
19341031,-0.016600,0.012400,-0.051100,0.00010,0.069100
19341130,0.083300,0.064900,-0.022400,0.00010,0.042200
19341231,0.003600,0.030800,-0.031700,0.00010,0.046300
19350131,-0.034500,0.010700,-0.018900,0.00010,0.036000
19350228,-0.019400,0.004200,-0.072400,0.00020,0.137500
19350330,-0.036800,-0.035400,-0.050600,0.00010,0.028600
19350430,0.090600,-0.015600,0.042700,0.00010,-0.047200
19350531,0.034700,-0.033400,0.026100,0.00010,-0.036700
19350629,0.059300,-0.025100,-0.016500,0.00010,0.020700
19350731,0.075100,0.014700,0.068600,0.00010,-0.042200
19350831,0.026500,0.062800,0.057000,0.00010,-0.076900
19350930,0.026300,0.015700,-0.040500,0.00010,0.089300
19351031,0.070300,0.026500,-0.023300,0.00010,0.020900
19351130,0.048800,0.043000,0.119100,0.00020,-0.059100
19351231,0.045600,0.002200,0.010700,0.00010,0.037500
19360131,0.068900,0.051000,0.105100,0.00010,-0.033600
19360229,0.024900,0.011400,0.050400,0.00010,0.025700
19360331,0.009900,0.006600,-0.016600,0.00020,0.017300
19360430,-0.081400,-0.060300,-0.020800,0.00020,-0.078300
19360529,0.051900,0.008100,0.026300,0.00020,0.023700
