date,mkt_rf,smb,hml,mom,rf
199402,-0.005733448,-0.00979825,-0.030990519,-0.026590251,0.008719
199403,-0.140417362,0.101121891,0.044573569,0.188139187,0.008719
199404,-0.168803863,0.052866421,0.037489512,0.00832765,0.008719
199405,-0.050044268,0.003394482,-0.007816317,-0.016820707,0.008719
199406,-0.1576434,-0.013240454,0.016468234,0.026382175,0.008719
199407,-0.245339974,-0.118368638,0.105771546,-0.1164324,0.008719
199408,1.126362308,0.374269595,-0.404816759,0.486691615,0.008719
199409,0.05075964,0.173406646,0.147367847,-0.006934712,0.008719
199410,-0.209376151,0.038891704,-0.002298847,0.009885904,0.008719
199411,0.028550484,0.019204127,-0.032660917,0.092660133,0.008719
199412,-0.065554535,0.010548396,-0.00326143,-0.009143983,0.008719
199501,-0.131828842,-0.034582942,0.015578444,-0.055745451,0.008719
199502,-0.025635046,-0.000629284,0.028025255,-0.034131923,0.008719
199503,0.121853737,0.034073105,-0.058546876,0.113897359,0.008719
199504,-0.117091474,0.01450233,0.008670986,-0.005170196,0.008719
199505,0.15127026,0.090739285,-0.11196654,0.157741753,0.008719
199506,-0.090082862,-0.026686026,0.028960926,-0.060316699,0.008719
199507,0.059653912,-0.005305571,0.036482943,-0.025338225,0.008719
199508,0.048676408,-0.036938979,0.137720648,-0.101164629,0.008719
199509,-0.010066321,-0.012009478,0.077972892,0.051042513,0.008719
199510,0.005800018,0.005088647,0.056247439,0.042145674,0.008719
199511,-0.087035426,0.009634592,-0.081959597,-0.090105366,0.008719
199512,-0.119050503,-0.009106588,0.014173599,-0.015879965,0.008719
199601,-0.044621569,0.003543677,0.084139371,0.063776309,0.008719
199602,0.020892522,-0.012137724,-0.029700349,-0.019326434,0.008719
199603,-0.006803541,0.003049735,0.002756475,0.029573661,0.008719
199604,0.305608571,0.035666359,0.067883457,-0.066153312,0.008719
199605,-0.040935333,-0.09128146,0.055703169,0.06984494,0.007346
199606,0.208600005,-0.126517865,0.073689645,0.110687592,0.007346
199607,0.184270819,0.036287365,0.254207464,0.158143385,0.007346
199608,0.003008499,-0.075924043,0.028714859,0.066206214,0.006022
199609,0.044754357,0.000662408,0.022344236,0.003859157,0.006022
199610,0.274764553,0.142345569,0.327177463,0.021110645,0.006022
199611,0.086346601,0.042957359,0.072552833,0.026845061,0.006022
199612,-0.212681795,-0.085783511,-0.113539003,-0.080229114,0.006022
199701,0.093638266,0.038246936,0.058240694,0.05369738,0.006022
199702,0.067342704,0.03346191,-0.031456414,-0.09928252,0.006022
199703,0.191756105,0.024060648,-0.037928596,0.002626699,0.006022
199704,0.110803336,-0.079280859,-0.045854307,0.042312499,0.006022
199705,-0.086131224,-0.049294883,0.038342855,0.057764832,0.006022
199706,0.00886048,-0.023474548,0.009775773,0.111309071,0.006022
199707,-0.089252549,0.049451911,0.037456072,-0.081689424,0.006022
199708,-0.002554936,0.019627271,0.100792365,-0.142124539,0.006022
199709,-0.133943243,0.037444644,-0.032721704,-0.016723171,0.006022
199710,0.120344291,-0.045420054,-0.037512181,0.025546939,0.004606
199711,-0.054623749,0.033423611,-0.020838785,0.02876906,0.004606
199712,0.042398146,0.042343161,-0.049210159,0.061964305,0.004606
199801,0.025848713,0.033698158,-0.003887162,0.01966133,0.004606
199802,-0.02082657,0.023637725,0.044545991,-0.076734829,0.004606
199803,0.026290696,0.049139072,0.008773918,0.009384756,0.004249
199804,0.085198094,0.062887307,-0.003701515,0.003195332,0.004249
199805,0.063144275,0.072574468,0.03712082,-0.02762009,0.004249
199806,-0.078295745,0.010459502,-0.029133159,0.051376017,0.004249
199807,-0.012866931,0.030736778,0.02298355,0.009717631,0.003891
199808,-0.129549617,0.0273299,-0.00892688,0.078329394,0.003891
199809,0.073041184,0.088134742,0.005825751,-0.005571361,0.003891
199810,-0.014053358,0.047632857,-0.044916195,0.035179932,0.003891
199811,0.01268872,-0.016424722,-0.025574504,-0.030845484,0.003891
199812,-0.090950185,-0.027688153,-0.005372561,-0.034043377,0.003097
199901,-0.007519078,0.015337708,0.008535606,0.013020671,0.003097
199902,-0.044770883,0.009457777,-0.002768495,0.020872835,0.003097
199903,0.064888125,0.067637181,0.06204101,-0.010787707,0.003097
199904,-0.040705938,-0.007278791,0.030680577,-0.004125553,0.003097
199905,0.103324361,-0.022285489,-0.059224963,0.023681865,0.003097
199906,0.362693552,-0.096980487,-0.004853615,0.04933327,0.001856
199907,-0.068506522,0.030066716,0.001288186,-0.006593225,0.001856
199908,0.00671433,0.069555673,0.041460658,-0.051992108,0.001856
199909,-0.031137774,0.005049669,-0.015911698,-0.020379448,0.001856
199910,-0.052962256,0.027108395,-0.005370919,-0.022715715,0.001856
199911,-0.044845361,0.033187988,0.004395629,-0.024041011,0.001856
199912,-0.048113811,-0.01731236,-0.051566531,0.035749332,0.001856
200001,0.170252378,-0.031781356,-0.082902617,0.211741814,0.001856
200002,0.126036537,0.030523772,0.000360348,0.021380411,0.001856
200003,0.051852967,0.085224392,0.036631579,-0.113788422,0.001856
200004,0.01096482,-0.007447865,-0.001262679,-0.04492668,0.001856
200005,0.025253959,0.018091165,0.024715003,-0.008561085,0.001856
200006,0.022169298,-0.020991102,0.025951048,-0.061852032,0.001856
200007,0.043037167,0.035434909,0.026442369,-0.012772744,0.001856
200008,-0.007069862,0.047604751,-0.005096699,0.0040947,0.001856
200009,-0.049645619,0.026527336,-0.038201513,0.041459331,0.001856
200010,0.020024406,0.035459309,0.032935115,-0.024722643,0.001856
200011,0.054474807,0.008815294,0.008537028,-0.021623095,0.001856
200012,-0.005421498,0.007172063,0.006925573,-0.011627401,0.001856
200101,-0.011342343,-0.006094765,0.041426592,-0.001074783,0.001856
200102,-0.061521122,-0.013863402,0.032146019,0.02569795,0.001856
200103,0.073483406,0.033643726,0.00975702,-0.009991203,0.001856
200104,-0.00873403,0.030925064,-0.034631017,0.002094286,0.001856
200105,0.030725581,0.0647059,-0.00466745,0.023909855,0.001856
200106,-0.001973427,0.008413013,0.020115235,-0.012780534,0.001856
200107,-0.133202267,-0.003195431,-0.00890664,0.029904849,0.001856
200108,-0.035928997,0.016021448,-0.003442718,0.025652861,0.001856
200109,-0.057626705,-0.02446458,0.021338236,-0.027358027,0.001856
200110,-0.052146022,-0.008659102,0.029255659,-0.01232546,0.001856
200111,0.03838775,0.025377449,0.006621375,-0.052858931,0.001856
200112,-0.064509042,-0.020148087,0.01371205,0.022934976,0.001856
200201,-0.109501114,-0.03468111,-0.00008078,0.045057615,0.001856
200202,0.027360463,0.014053722,0.002596624,-0.05059579,0.001635
200203,0.065319252,0.02575759,-0.002143361,-0.045664039,0.001635
200204,0.039299584,0.03352271,0.029204258,-0.021750109,0.001635
200205,-0.085010279,0.000784602,-0.013731286,0.003375642,0.001635
200206,0.124447014,-0.034101453,0.049825176,-0.018578216,0.001635
200207,-0.042630572,0.010705213,-0.008409183,-0.001373367,0.001635
200208,0.003733772,0.007086573,-0.001500046,0.000742421,0.001635
200209,-0.057032412,-0.006881279,-0.007237735,0.025416414,0.001635
200210,-0.051488695,-0.013613201,-0.002191318,0.009716152,0.001635
200211,-0.065060039,-0.030300367,-0.001740273,0.028361792,0.001635
200212,-0.048756312,0.002675382,-0.017614098,0.01629748,0.001635
200301,0.08942354,0.019180272,0.021661641,-0.049400414,0.001635
200302,0.010090789,0.008975004,0.001436055,-0.001094415,0.001635
200303,-0.017786672,-0.016336421,0.017547442,0.043171268,0.001635
200304,-0.019010448,-0.037953027,0.047234365,0.084426354,0.001635
200305,0.045623579,-0.012932011,0.005140121,-0.010280259,0.001635
200306,-0.067324721,-0.003658915,-0.002831123,0.011072457,0.001635
200307,-0.012027086,-0.042556873,0.000975815,0.046756898,0.001635
200308,-0.03243087,0.011595088,-0.01447095,-0.034872635,0.001635
200309,-0.043916191,-0.007754475,0.006993302,0.006683013,0.001635
200310,-0.040882854,-0.052903283,0.038288061,0.083213541,0.001635
200311,0.022321285,-0.009658295,0.036919981,-0.022104156,0.001635
200312,0.020959527,-0.054531516,0.045490633,0.105176364,0.001635
200401,0.073638817,0.019645412,0.006671087,-0.072238579,0.001635
200402,0.073292532,0.030631302,-0.00137282,-0.072319217,0.001635
200403,0.034880408,0.018297445,0.01638711,-0.009691921,0.001635
200404,-0.103896265,0.016051662,0.034230348,0.057571438,0.001635
200405,-0.024233372,0.019756161,0.012125624,0.010444147,0.001635
200406,-0.117855358,-0.018361044,0.003517518,0.024890106,0.001635
200407,-0.002435273,-0.046896597,0.008044268,0.039413608,0.001635
200408,-0.046213719,-0.000515936,0.025428215,0.012480883,0.001635
200409,0.055438302,-0.021347737,-0.001515819,0.027844337,0.001635
200410,-0.055382763,-0.035737033,-0.009171346,0.069764894,0.001856
200411,0.022556893,0.041085477,-0.00296905,-0.07697748,0.001856
200412,-0.070718766,-0.021183686,0.008202136,0.054006472,0.001856
200501,-0.059474889,-0.010434861,-0.002461581,0.009018635,0.001856
200502,0.09345516,0.013227656,0.008283048,-0.037778496,0.001856
200503,-0.107288338,-0.025435085,0.001818462,0.085570313,0.001856
200504,-0.03832515,-0.049670521,0.023524684,0.08553714,0.001856
200505,-0.07154427,0.039287773,-0.012158225,-0.111998242,0.001856
200506,0.007509597,-0.017016221,9.91154E-05,0.048987233,0.001856
200507,-0.021784141,-0.083970438,-0.001684976,0.100756219,0.001856
200508,0.088359224,0.111259287,-0.012597651,-0.152990644,0.001856
200509,0.005042481,0.022429408,-0.01740535,-0.007023968,0.001856
200510,-0.055478662,-0.015390192,-0.011090427,0.042303035,0.001856
200511,-0.005870216,0.035711091,0.014325095,-0.04960431,0.001856
200512,0.05022589,-0.055790167,0.014257884,0.037147715,0.001856
200601,0.094048986,-0.024177153,0.017803245,0.015135339,0.001856
200602,0.027785908,0.001395959,0.014682933,-0.027770712,0.001856
200603,0.018811873,-0.020335446,-0.003417547,0.090268559,0.001856
200604,0.111661432,-0.047947287,1.56513E-05,0.089566084,0.001856
200605,0.2099326,0.081868752,0.025761997,-0.090493993,0.001856
200606,0.043369922,0.033017365,0.009990882,-0.033520446,0.001856
200607,-0.056584997,0.057871996,-0.003540456,-0.004784994,0.001856
200608,0.03014589,-0.007091,-0.006321968,0.017215877,0.002076
200609,0.039658561,0.02545521,-0.019847018,-0.006916695,0.002076
200610,0.0125222,-0.02062226,0.014710229,-0.022238883,0.002076
200611,0.108190203,-0.116213422,-0.010371539,0.053816455,0.002076
200612,0.115131203,-0.095056448,0.012205361,0.077249084,0.002076
200701,0.207871106,0.057644189,-0.003663424,-0.061701525,0.002076
200702,0.127288616,0.096663078,0.075652894,-0.1033902,0.002076
200703,0.124409339,0.109318714,0.029537328,-0.056096941,0.002296
200704,0.315289371,0.052836513,0.101300839,0.103009458,0.002296
