,0,1,2,3
1,1,1,1,1
2,5,7,8,9
4,4,4,5,5
5,8,6,9,8
6,7,6,3,4
7,4,2,2,2
8,6,6,6,6
9,7,7,6,5
10,2,5,5,5
11,5,5,5,3
12,4,6,6,8
14,4,6,6,6
16,7,4,3,3
17,6,2,1,3
18,5,3,2,2
19,5,5,6,6
20,8,6,5,6
21,7,5,6,3
22,7,0,0,1
23,4,5,7,6
25,5,8,8,9
26,9,8,6,5
27,6,5,8,8
28,6,5,5,4
29,8,7,6,6
30,4,3,6,5
31,3,4,7,6
32,7,6,6,5
33,1,1,1,1
34,4,4,8,7
35,6,5,3,4
36,3,4,7,4
37,5,3,2,5
38,5,1,3,4
39,6,5,6,4
40,8,6,4,4
42,7,5,6,7
43,8,6,6,6
45,3,2,5,6
46,7,4,6,6
48,7,8,8,6
49,6,6,8,8
50,4,5,6,4
55,4,4,5,3
56,7,5,5,5
58,9,4,6,6
59,5,5,7,7
60,6,6,3,2
61,7,6,6,8
62,6,6,7,7
63,4,3,3,5
65,8,8,8,6
66,4,6,2,2
68,2,0,2,2
69,5,6,6,5
70,4,4,6,6
78,6,5,6,4
88,6,5,5,4
89,9,6,5,4
90,2,5,4,5
96,5,6,5,6
99,9,9,8,7
100,2,2,4,3
150,6,4,4,4
151,4,5,4,5
153,5,6,3,3
155,3,7,7,8
156,6,5,4,4
157,7,7,7,7
158,5,5,7,5
159,9,8,7,1
166,1,1,1,1
301,4,5,4,4
333,10,9,7,6
338,7,7,4,5
400,2,3,6,9
401,9,7,9,8
402,5,5,6,7
403,7,7,3,7
404,6,7,3,3
407,6,6,5,7
408,9,5,4,3
409,6,6,5,4
410,7,4,4,2
411,7,8,6,8
413,7,8,5,4
415,7,8,9,8
416,2,2,2,2
417,5,6,6,6
418,8,8,1,1
419,6,6,4,5
420,4,7,3,4
421,5,7,7,7
422,6,5,5,7
423,5,6,4,3
425,7,5,8,8
426,7,4,3,2
428,4,4,4,7
429,8,8,4,4
430,5,5,4,4
488,5,4,3,4
498,2,2,5,6
501,3,5,5,4
502,5,6,7,6
503,4,3,3,3
504,5,7,4,5
505,6,7,5,6
506,3,4,3,2
507,4,4,5,5
509,5,1,3,6
510,9,8,4,3
511,0,0,0,1
513,5,4,7,7
514,6,5,3,5
516,7,7,3,2
517,6,3,5,3
518,5,4,3,4
519,6,6,5,6
520,6,5,3,2
521,6,6,5,6
523,6,2,3,4
524,7,8,6,7
525,7,7,3,2
526,6,4,4,5
528,5,5,5,8
529,6,8,6,6
530,6,3,9,6
531,3,2,5,6
532,3,6,7,5
533,4,1,4,5
534,4,4,7,6
536,0,2,3,2
537,7,9,5,6
538,7,5,4,4
539,7,4,6,7
540,6,4,4,5
541,5,5,3,3
543,8,8,6,6
544,4,4,0,3
545,4,3,4,2
546,7,7,6,4
547,6,7,5,3
548,5,4,4,5
550,5,5,4,4
551,7,5,5,6
552,9,7,5,5
553,8,8,3,5
554,4,4,4,6
555,8,5,7,5
557,9,6,4,5
558,3,2,4,0
559,5,5,5,3
560,5,5,5,7
561,4,7,3,3
563,2,2,1,1
564,6,5,3,4
565,5,6,6,6
566,6,7,4,4
567,2,2,2,2
568,6,7,6,4
570,5,7,7,7
571,3,3,5,6
572,4,2,3,1
573,4,6,6,9
576,3,5,5,5
581,5,7,7,5
582,6,5,7,8
584,8,7,4,4
585,4,4,6,4
586,2,3,3,4
587,4,4,1,4
589,6,6,7,6
590,3,2,6,7
591,6,5,5,6
592,7,6,8,6
593,5,4,6,7
595,2,4,0,0
596,7,8,7,7
597,7,8,7,6
598,7,4,2,3
599,5,5,4,3
600,7,8,5,6
601,2,3,8,7
603,7,6,5,4
605,6,6,5,4
606,7,6,6,5
607,6,6,3,4
608,5,5,3,3
609,2,1,4,4
