Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2002/1/4,5,1643.49,1643.5,1608.83,1611.39,-0.021009
1,2002/1/7,1,1605.74,1605.74,1584.66,1596.76,-0.009079
1,2002/1/8,2,1594.87,1607.72,1582.45,1583.46,-0.008329
1,2002/1/9,3,1580.71,1580.72,1552.56,1561.35,-0.013963
1,2002/1/10,4,1556.74,1580.01,1523.66,1576.44,0.009665
1,2002/1/11,5,1574.26,1574.27,1535.28,1535.59,-0.025913
1,2002/1/14,1,1519.93,1519.93,1484.46,1485.11,-0.032873
1,2002/1/15,2,1475.34,1491.7,1458.02,1459.65,-0.017144
1,2002/1/16,3,1458.84,1482.18,1439.4,1479.62,0.013681
1,2002/1/17,4,1476.36,1476.38,1416.3,1419.52,-0.040619
1,2002/1/18,5,1405.55,1434.97,1376.89,1415.44,-0.002874
1,2002/1/21,1,1407,1412.21,1362.62,1366.97,-0.034244
1,2002/1/22,2,1360.29,1400.76,1348.79,1358.69,-0.006057
1,2002/1/23,3,1355.86,1445.7,1346.17,1444.97,0.063502
1,2002/1/24,4,1435.32,1478.54,1400.35,1456.4,0.00791
1,2002/1/25,5,1449.88,1464.9,1442.94,1451.48,-0.003378
1,2002/1/28,1,1444.5,1448.6,1357.55,1359.55,-0.063335
1,2002/1/29,2,1343.36,1396.11,1339.2,1392.78,0.024442
1,2002/1/30,3,1392.95,1408.05,1381.01,1396.61,0.00275
1,2002/1/31,4,1413.22,1501.33,1413.22,1491.67,0.068065
1,2002/2/1,5,1494.58,1507.64,1480.77,1485.77,-0.003955
1,2002/2/4,1,1485.68,1513.67,1476.13,1511.33,0.017203
1,2002/2/5,2,1510.57,1522.32,1502.09,1518.28,0.004599
1,2002/2/6,3,1517.81,1521.56,1484.25,1485.8,-0.021393
1,2002/2/7,4,1482.36,1521.03,1481.07,1515.39,0.019915
1,2002/2/8,5,1520.72,1530.13,1506.07,1506.62,-0.005787
1,2002/2/25,1,1540.49,1544.57,1521.66,1530.28,0.015704
1,2002/2/26,2,1529.38,1531.72,1507.58,1531.43,0.000751
1,2002/2/27,3,1531.32,1544.92,1524.69,1538.32,0.004499
1,2002/2/28,4,1537.93,1544.39,1521.08,1524.7,-0.008854
1,2002/3/1,5,1521.53,1521.57,1501.56,1502.54,-0.014534
1,2002/3/4,1,1497.83,1527.4,1494.83,1526.8,0.016146
1,2002/3/5,2,1529.3,1566.07,1529.3,1560.08,0.021797
1,2002/3/6,3,1564.69,1594.67,1563.92,1569.21,0.005852
1,2002/3/7,4,1569.17,1613.26,1569.07,1613,0.027906
