stkcd,name
1,平安银行
2,万科A
63,中兴通讯
66,中国长城
69,华侨城A
100,TCL科技
157,中联重科
166,申万宏源
333,美的集团
338,潍柴动力
425,徐工机械
538,云南白药
596,古井贡酒
568,泸州老窖
625,长安汽车
651,格力电器
661,长春高新
708,中信特钢
725,京东方A
768,中航西飞
776,广发证券
786,北新建材
800,一汽解放
858,五粮液
876,新希望
895,双汇发展
938,紫光股份
963,华东医药
977,浪潮信息
1979,招商蛇口
2001,新和成
2007,华兰生物
2008,大族激光
2027,分众传媒
2032,苏泊尔
2049,紫光国微
2050,三花智控
2129,TCL中环
2142,宁波银行
2179,中航光电
2202,金风科技
2230,科大讯飞
2236,大华股份
2241,歌尔股份
2271,东方雨虹
2304,洋河股份
2311,海大集团
2352,顺丰控股
2371,北方华创
2410,广联达
2414,高德红外
2415,海康威视
2460,赣锋锂业
2475,立讯精密
2493,荣盛石化
2555,三七互娱
2594,比亚迪
2601,龙佰集团
2602,世纪华通
2714,牧原股份
2736,国信证券
2812,恩捷股份
2841,视源股份
2916,深南电路
2938,鹏鼎控股
3816,中国广核
300014,亿纬锂能
300059,东方财富
300124,汇川技术
300122,智飞生物
300142,沃森生物
300274,阳光电源
300347,泰格医药
300408,三环集团
300433,蓝思科技
300450,先导智能
300498,温氏股份
300529,健帆生物
300601,康泰生物
600011,华能国际
600019,宝钢股份
600018,上港集团
600015,华夏银行
600025,华能水电
600028,中国石化
600030,中信证券
600031,三一重工
600036,招商银行
600048,保利发展
600104,上汽集团
600115,中国东航
600132,重庆啤酒
600150,中国船舶
600161,天坛生物
600176,中国巨石
600183,生益科技
600196,复星医药
600276,恒瑞医药
600309,万华化学
600332,白云山
600362,江西铜业
600383,金地集团
600406,国电南瑞
600426,华鲁恒升
600438,通威股份
600519,贵州茅台
600570,恒生电子
600584,长电科技
600585,海螺水泥
600588,用友网络
600600,青岛啤酒
600655,豫园股份
600660,福耀玻璃
600690,海尔智家
600741,华域汽车
600745,闻泰科技
600760,中航沈飞
600763,通策医疗
600795,国电电力
600809,山西汾酒
600837,海通证券
600845,宝信软件
600886,国投电力
600887,伊利股份
600893,航发动力
600919,江苏银行
600926,杭州银行
600958,东方证券
600989,宝丰能源
600999,招商证券
601009,南京银行
601012,隆基绿能
601066,中信建投
601088,中国神华
601100,恒立液压
601111,中国国航
601155,新城控股
601169,北京银行
601166,兴业银行
601186,中国铁建
601211,国泰君安
601225,陕西煤业
601238,广汽集团
601288,农业银行
601318,中国平安
601328,交通银行
601319,中国人保
601360,三六零
601377,兴业证券
601390,中国中铁
601398,工商银行
601601,中国太保
601628,中国人寿
601618,中国中冶
601658,邮储银行
601669,中国电建
601668,中国建筑
601688,华泰证券
601766,中国中车
601788,光大证券
601799,星宇股份
601800,中国交建
601808,中海油服
601816,京沪高铁
601838,成都银行
601857,中国石油
601877,正泰电器
601878,浙商证券
601881,中国银河
601899,紫金矿业
601901,方正证券
601939,建设银行
601985,中国核电
601988,中国银行
601989,中国重工
601995,中金公司
601998,中信银行
603019,中科曙光
603087,甘李药业
603259,药明康德
603288,海天味业
603369,今世缘
603392,万泰生物
603501,韦尔股份
603659,璞泰来
603806,福斯特
603833,欧派家居
603882,金域医学
603899,晨光股份
603986,兆易创新
603993,洛阳钼业
688008,澜起科技
688012,中微公司
688111,金山办公
688126,沪硅产业
688169,石头科技
2821,凯莱英
301,东方盛虹
703,恒逸石化
2120,韵达股份
2064,华峰化学
2459,晶澳科技
2568,百润股份
2709,天赐材料
2791,坚朗五金
300015,爱尔眼科
300413,芒果超媒
300628,亿联网络
300750,宁德时代
300759,康龙化成
300760,迈瑞医疗
300782,卓胜微
300866,安克创新
300999,金龙鱼
600016,民生银行
600009,上海机场
600436,片仔癀
600489,中金黄金
600900,长江电力
600918,中泰证券
601006,大秦铁路
601021,春秋航空
601633,长城汽车
601600,中国铝业
601728,中国电信
601818,光大银行
601865,福莱特
601868,中国能建
601898,中煤能源
601916,浙商银行
601919,中远海控
601966,玲珑轮胎
603260,合盛硅业
605499,东鹏饮料
688396,华润微
688561,奇安信
688599,天合光能
688981,中芯国际
300033,同花顺
300595,欧普康视
300896,爱美客
688363,华熙生物
408,藏格矿业
792,盐湖股份
877,天山股份
1289,龙源电力
2074,国轩高科
2252,上海莱士
2600,领益智造
2607,中公教育
2648,卫星化学
2920,德赛西威
300003,乐普医疗
300223,北京君正
300207,欣旺达
300316,晶盛机电
300454,深信服
300496,中科创达
300661,圣邦股份
300751,迈为股份
300763,锦浪科技
300919,中伟股份
300957,贝泰妮
300979,华利集团
600000,浦发银行
600029,南方航空
600010,包钢股份
600050,中国联通
600061,国投资本
600085,同仁堂
600089,特变电工
600111,北方稀土
600188,兖矿能源
600219,南山铝业
600346,恒力石化
600352,浙江龙盛
600460,士兰微
600547,山东黄金
600606,绿地控股
600905,三峡能源
600941,中国移动
601117,中国化学
601138,工业富联
601216,君正集团
601229,上海银行
601236,红塔证券
601336,新华保险
601698,中国卫通
601825,沪农商行
603160,汇顶科技
603185,上机数控
603195,公牛集团
603799,华友钴业
688005,容百科技
688036,传音控股
688065,凯赛生物
603290,斯达半导
603486,科沃斯
2466,天齐锂业
601888,中国中免
