"StatsDate","TenYearBondYield"
"2019-01-02","3.1633"
"2019-01-03","3.1482"
"2019-01-04","3.1407"
"2019-01-07","3.1636"
"2019-01-08","3.1239"
"2019-01-09","3.1189"
"2019-01-10","3.1092"
"2019-01-11","3.1044"
"2019-01-14","3.1344"
"2019-01-15","3.1544"
"2019-01-16","3.0999"
"2019-01-17","3.0613"
"2019-01-18","3.0813"
"2019-01-21","3.1200"
"2019-01-22","3.1091"
"2019-01-23","3.1128"
"2019-01-24","3.1204"
"2019-01-25","3.1156"
"2019-01-28","3.1555"
"2019-01-29","3.1234"
"2019-01-30","3.1261"
"2019-01-31","3.1063"
"2019-02-01","3.1204"
"2019-02-02","3.1355"
"2019-02-03","3.1262"
"2019-02-11","3.1120"
"2019-02-12","3.1049"
"2019-02-13","3.1096"
"2019-02-14","3.1138"
"2019-02-15","3.1223"
"2019-02-18","3.1336"
"2019-02-19","3.1681"
"2019-02-20","3.1637"
"2019-02-21","3.1707"
"2019-02-22","3.1669"
"2019-02-25","3.1993"
"2019-02-26","3.2344"
"2019-02-27","3.2307"
"2019-02-28","3.2386"
"2019-03-01","3.1939"
"2019-03-04","3.2152"
"2019-03-05","3.2121"
"2019-03-06","3.2139"
"2019-03-07","3.1789"
"2019-03-08","3.1502"
"2019-03-11","3.1466"
"2019-03-12","3.1606"
"2019-03-13","3.1417"
"2019-03-14","3.1465"
"2019-03-15","3.1590"
"2019-03-18","3.1399"
"2019-03-19","3.1448"
"2019-03-20","3.1521"
"2019-03-21","3.1453"
"2019-03-22","3.1213"
"2019-03-25","3.0951"
"2019-03-26","3.0910"
"2019-03-27","3.0763"
"2019-03-28","3.0881"
"2019-03-29","3.0961"
"2019-04-01","3.1335"
"2019-04-02","3.2162"
"2019-04-03","3.2364"
"2019-04-04","3.2555"
"2019-04-08","3.2879"
"2019-04-09","3.3206"
"2019-04-10","3.3152"
"2019-04-11","3.3154"
"2019-04-12","3.3358"
"2019-04-15","3.3558"
"2019-04-16","3.3903"
"2019-04-17","3.4512"
"2019-04-18","3.4210"
