MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9709,2001/1/4,3,-0.004055,0.004622,0.004595,0.001803,-0.000236
P9709,2001/1/4,2,-0.004055,0.004673,0.004286,0.000936,0.000596
P9709,2001/1/4,1,-0.004055,0.004737,0.004338,0.002407,0.002253
P9713,2001/1/4,3,-0.002055,0.004268,0.006517,0.001784,-0.000094
P9713,2001/1/4,1,-0.002055,0.004273,0.006534,0.001933,0.002973
P9713,2001/1/4,2,-0.002055,0.004227,0.006052,0.000444,0.001047
P9714,2001/1/4,1,-0.004055,0.004737,0.004338,0.002407,0.002253
P9714,2001/1/4,2,-0.004055,0.004673,0.004286,0.000936,0.000596
P9714,2001/1/4,3,-0.004055,0.004622,0.004595,0.001803,-0.000236
P9709,2001/1/5,2,0.003945,0.002982,0.004305,0.000239,-0.001046
P9709,2001/1/5,3,0.003945,0.003629,0.004323,0.00033,-0.002188
P9709,2001/1/5,1,0.003945,0.00288,0.006332,0.00251,-0.001653
P9713,2001/1/5,3,0.003945,0.003486,0.003732,0.000562,-0.002093
P9713,2001/1/5,2,0.003945,0.002826,0.003502,0.000566,-0.001158
P9713,2001/1/5,1,0.003945,0.002754,0.005266,0.002473,-0.001801
P9714,2001/1/5,1,0.003945,0.00288,0.006332,0.00251,-0.001653
P9714,2001/1/5,2,0.003945,0.002982,0.004305,0.000239,-0.001046
P9714,2001/1/5,3,0.003945,0.003629,0.004323,0.00033,-0.002188
P9709,2001/1/8,2,-0.011055,-0.00295,0.00867,0.004456,0.002127
P9709,2001/1/8,1,-0.011055,-0.002774,0.01293,0.006391,-0.000653
P9709,2001/1/8,3,-0.011055,-0.003066,0.008758,0.006436,0.00136
P9714,2001/1/8,3,-0.011055,-0.003066,0.008758,0.006436,0.00136
P9713,2001/1/8,2,-0.012055,-0.002692,0.006482,0.00487,0.001664
P9713,2001/1/8,3,-0.012055,-0.002619,0.006694,0.006599,0.00149
P9713,2001/1/8,1,-0.012055,-0.002448,0.009913,0.006858,-0.001021
P9714,2001/1/8,1,-0.011055,-0.002774,0.01293,0.006391,-0.000653
P9714,2001/1/8,2,-0.011055,-0.00295,0.00867,0.004456,0.002127
P9709,2001/1/9,1,-0.001055,-0.002595,0.002157,0.00098,0.000543
P9709,2001/1/9,2,-0.001055,-0.002449,0.000263,0.00083,-0.0014
P9709,2001/1/9,3,-0.001055,-0.00132,0.001496,0.000775,-0.000829
P9713,2001/1/9,3,-0.001055,-0.000965,0.000502,0.000791,-0.000699
P9713,2001/1/9,2,-0.001055,-0.001987,-0.000722,0.000701,-0.001284
P9713,2001/1/9,1,-0.001055,-0.002112,0.001141,0.000737,0.000623
