Month,rf
1998/1/1,0.0024
1998/2/1,0.0024
1998/3/1,0.0024
1998/4/1,0.0024
1998/5/1,0.0024
1998/6/1,0.0024
1998/7/1,0.002325
1998/8/1,0.002325
1998/9/1,0.002325
1998/10/1,0.002325
1998/11/1,0.002325
1998/12/1,0.002325
1999/1/1,0.002325
1999/2/1,0.002325
1999/3/1,0.002325
1999/4/1,0.002325
1999/5/1,0.002325
1999/6/1,0.001853
1999/7/1,0.00165
1999/8/1,0.00165
1999/9/1,0.00165
1999/10/1,0.00165
1999/11/1,0.00165
1999/12/1,0.00165
2000/1/1,0.00165
2000/2/1,0.00165
2000/3/1,0.00165
2000/4/1,0.00165
2000/5/1,0.00165
2000/6/1,0.00165
2000/7/1,0.00165
2000/8/1,0.00165
2000/9/1,0.00165
2000/10/1,0.00165
2000/11/1,0.00165
2000/12/1,0.00165
2001/1/1,0.00165
2001/2/1,0.00165
2001/3/1,0.00165
2001/4/1,0.00165
2001/5/1,0.00165
2001/6/1,0.00165
2001/7/1,0.00165
2001/8/1,0.00165
2001/9/1,0.00165
2001/10/1,0.00165
2001/11/1,0.00165
2001/12/1,0.00165
2002/1/1,0.00165
2002/2/1,0.001586
2002/3/1,0.001425
2002/4/1,0.001425
2002/5/1,0.001425
2002/6/1,0.001425
2002/7/1,0.001425
2002/8/1,0.001656
2002/9/1,0.001852
2002/10/1,0.001892
2002/11/1,0.001892
2002/12/1,0.001892
2003/1/1,0.001892
2003/2/1,0.001892
2003/3/1,0.001892
2003/4/1,0.001886
2003/5/1,0.001823
2003/6/1,0.001891
2003/7/1,0.001945
2003/8/1,0.001964
2003/9/1,0.002225
2003/10/1,0.002246
2003/11/1,0.002251
2003/12/1,0.002046
2004/1/1,0.002046
2004/2/1,0.001888
2004/3/1,0.001682
2004/4/1,0.001776
2004/5/1,0.00202
2004/6/1,0.002354
2004/7/1,0.002402
2004/8/1,0.002377
2004/9/1,0.002008
2004/10/1,0.00209
2004/11/1,0.002086
2004/12/1,0.002035
2005/1/1,0.002085
2005/2/1,0.00196
2005/3/1,0.001454
2005/4/1,0.000954
2005/5/1,0.000967
2005/6/1,0.00094
2005/7/1,0.000952
2005/8/1,0.000895
2005/9/1,0.00093
2005/10/1,0.000969
2005/11/1,0.001173
2005/12/1,0.001507
2006/1/1,0.001507
2006/2/1,0.001466
2006/3/1,0.001453
2006/4/1,0.001548
2006/5/1,0.001672
2006/6/1,0.001811
2006/7/1,0.001981
2006/8/1,0.002051
2006/9/1,0.002067
2006/10/1,0.002167
2006/11/1,0.002289
2006/12/1,0.00234
2007/1/1,0.00234
2007/2/1,0.002374
2007/3/1,0.002364
2007/4/1,0.002427
2007/5/1,0.002487
2007/6/1,0.002551
2007/7/1,0.00262
2007/8/1,0.002682
2007/9/1,0.002934
2007/10/1,0.00325
2007/11/1,0.003545
2007/12/1,0.003643
2008/1/1,0.003731
2008/2/1,0.003753
2008/3/1,0.003751
2008/4/1,0.003745
2008/5/1,0.003743
2008/6/1,0.003732
2008/7/1,0.003682
2008/8/1,0.003604
2008/9/1,0.003591
2008/10/1,0.003522
2008/11/1,0.003063
2008/12/1,0.001908
2009/1/1,0.001256
2009/2/1,0.001088
2009/3/1,0.001041
2009/4/1,0.001013
2009/5/1,0.00101
2009/6/1,0.001043
2009/7/1,0.001227
2009/8/1,0.001435
2009/9/1,0.001459
2009/10/1,0.001481
2009/11/1,0.001499
2009/12/1,0.001516
2010/1/1,0.001553
2010/2/1,0.001604
2010/3/1,0.001619
2010/4/1,0.001616
2010/5/1,0.001646
2010/6/1,0.002004
