code,exchcd
000001,4
000002,4
000003,4
000004,4
000005,4
000006,4
000007,4
000008,4
000009,4
000010,4
000011,4
000012,4
000013,4
000014,4
000015,4
000016,4
000017,4
000018,4
000019,4
000020,4
000021,4
000022,4
000023,4
000024,4
000025,4
000026,4
000027,4
000028,4
000029,4
000030,4
000031,4
000032,4
000033,4
000034,4
000035,4
000036,4
000037,4
000038,4
000039,4
000040,4
000042,4
000043,4
000045,4
000046,4
000047,4
000048,4
000049,4
000050,4
000055,4
000056,4
000058,4
000059,4
000060,4
000061,4
000062,4
000063,4
000065,4
000066,4
000068,4
000069,4
000070,4
000078,4
000088,4
000089,4
000090,4
000096,4
000099,4
000100,4
000150,4
000151,4
000153,4
000155,4
000156,4
000157,4
000158,4
000159,4
000166,4
000301,4
000333,4
000338,4
000400,4
000401,4
000402,4
000403,4
000404,4
000405,4
000406,4
000407,4
000408,4
000409,4
000410,4
000411,4
000412,4
000413,4
000415,4
000416,4
000417,4
000418,4
000419,4
000420,4
000421,4
000422,4
000423,4
000425,4
000426,4
000428,4
000429,4
000430,4
000488,4
000498,4
000501,4
000502,4
000503,4
000504,4
000505,4
000506,4
000507,4
000508,4
000509,4
000510,4
000511,4
000513,4
000514,4
000515,4
000516,4
000517,4
000518,4
000519,4
000520,4
000521,4
000522,4
000523,4
000524,4
000525,4
000526,4
000527,4
000528,4
000529,4
000530,4
000531,4
000532,4
000533,4
000534,4
000535,4
000536,4
000537,4
000538,4
000539,4
000540,4
000541,4
000542,4
000543,4
000544,4
000545,4
000546,4
000547,4
000548,4
000549,4
000550,4
000551,4
000552,4
000553,4
000554,4
000555,4
000556,4
000557,4
000558,4
000559,4
000560,4
000561,4
000562,4
000563,4
000564,4
000565,4
000566,4
000567,4
000568,4
000569,4
000570,4
000571,4
000572,4
000573,4
000576,4
000578,4
000581,4
000582,4
000583,4
000584,4
000585,4
000586,4
000587,4
000588,4
000589,4
000590,4
000591,4
000592,4
000593,4
000594,4
000595,4
000596,4
000597,4
000598,4
000599,4
000600,4
000601,4
000602,4
000603,4
000605,4
000606,4
000607,4
000608,4
000609,4
000610,4
000611,4
000612,4
000613,4
000615,4
000616,4
000617,4
000618,4
000619,4
000620,4
000621,4
000622,4
000623,4
000625,4
000626,4
000627,4
000628,4
000629,4
000630,4
000631,4
000632,4
000633,4
000635,4
000636,4
000637,4
000638,4
000639,4
000650,4
000651,4
000652,4
000653,4
000655,4
000656,4
000657,4
000658,4
000659,4
000660,4
000661,4
000662,4
000663,4
000665,4
000666,4
000667,4
000668,4
000669,4
000670,4
000671,4
000672,4
000673,4
000675,4
000676,4
000677,4
000678,4
000679,4
000680,4
000681,4
000682,4
000683,4
000685,4
000686,4
000687,4
000688,4
000689,4
000690,4
000691,4
000692,4
000693,4
000695,4
000697,4
000698,4
000699,4
000700,4
000701,4
000702,4
000703,4
000705,4
000707,4
000708,4
000709,4
000710,4
000711,4
000712,4
000713,4
000715,4
000716,4
000717,4
000718,4
000719,4
000720,4
000721,4
000722,4
000723,4
000725,4
000726,4
000727,4
000728,4
000729,4
000730,4
000731,4
000732,4
000733,4
000735,4
000736,4
000737,4
000738,4
000739,4
000748,4
000750,4
000751,4
000752,4
000753,4
000755,4
000756,4
000757,4
000758,4
000759,4
000760,4
000761,4
000762,4
000763,4
000765,4
000766,4
000767,4
000768,4
000769,4
000776,4
000777,4
000778,4
000779,4
000780,4
000782,4
000783,4
000785,4
000786,4
000787,4
000788,4
000789,4
000790,4
000791,4
000792,4
000793,4
000795,4
000796,4
000797,4
000798,4
000799,4
000800,4
000801,4
000802,4
000803,4
000805,4
000806,4
000807,4
000809,4
000810,4
000811,4
000812,4
000813,4
000815,4
000816,4
000817,4
000818,4
000819,4
000820,4
000821,4
000822,4
000823,4
000825,4
000826,4
000827,4
000828,4
000829,4
000830,4
000831,4
000832,4
000833,4
000835,4
000836,4
000837,4
000838,4
000839,4
000848,4
000850,4
000851,4
000852,4
000856,4
000858,4
000859,4
000860,4
000861,4
000862,4
000863,4
000866,4
000868,4
000869,4
000875,4
000876,4
000877,4
000878,4
000880,4
000881,4
000882,4
000883,4
000885,4
000886,4
000887,4
000888,4
000889,4
000890,4
000892,4
000893,4
000895,4
000897,4
000898,4
000899,4
000900,4
000901,4
000902,4
000903,4
000905,4
000906,4
000908,4
000909,4
000910,4
000911,4
000912,4
000913,4
000915,4
000916,4
000917,4
000918,4
000919,4
000920,4
000921,4
000922,4
000923,4
000925,4
000926,4
000927,4
000928,4
000929,4
000930,4
000931,4
000932,4
000933,4
000935,4
000936,4
000937,4
000938,4
000939,4
000948,4
000949,4
000950,4
000951,4
000952,4
000953,4
000955,4
000956,4
000957,4
000958,4
000959,4
000960,4
000961,4
000962,4
000963,4
000965,4
000966,4
000967,4
000968,4
000969,4
000970,4
000971,4
000972,4
000973,4
000975,4
000976,4
000977,4
000978,4
000979,4
000980,4
000981,4
000982,4
000983,4
000985,4
000987,4
000988,4
000989,4
000990,4
000993,4
000995,4
000996,4
000997,4
000998,4
000999,4
001696,4
001872,4
001896,4
001914,4
001965,4
001979,4
002001,4
002002,4
