,0,1,2,3
1,0.006102516,0.007259718,0.007259718,0.004289609
2,0.015219588,0.032234031,0.032234031,0.01222888
4,-0.021835872,-0.061543476,-0.061543476,-0.030803527
5,0.002951993,0.050217035,0.050217035,0.021910446
6,0.04375551,0.068194277,0.068194277,0.013648299
7,-0.020464823,-0.508672847,-0.508672847,-0.010453849
8,0.013361493,0.032665563,0.032665563,0.006771752
9,0.009009543,0.022280569,0.022280569,0.012702315
10,-0.04937393,-0.221952599,-0.221952599,0.011856273
11,0.029519648,0.101828379,0.101828379,0.008257215
12,0.024482261,0.024704552,0.024704552,0.020964663
14,0.002264437,0.080595726,0.080595726,-0.002047185
16,0.018412019,0.02027034,0.02027034,0.01261777
17,0.017620945,-0.025674901,-0.025674901,-0.016820108
18,0.002125244,-0.179077662,-0.179077662,-0.177729501
19,-0.031245356,0.049599338,0.049599338,0.03361682
20,0.000815531,0.005339613,0.005339613,0.004135406
21,0.032238119,0.036383178,0.036383178,0.012126413
22,0.084240758,,,
23,0.003829088,0.015141773,0.015141773,0.020751312
25,0.023048895,0.05194489,0.05194489,0.026281398
26,0.044966857,0.051069679,0.051069679,0.033737724
27,0.008307781,0.008420757,0.008420757,0.01288304
28,0.035775034,0.046609648,0.046609648,0.022901066
29,0.084099404,0.107154563,0.107154563,0.065710167
30,0.058542085,0.074786763,0.074786763,0.035091533
31,0.015086217,0.021984438,0.021984438,0.017552213
32,0.041332299,0.051905069,0.051905069,0.024245183
34,0.014003342,0.019858285,0.019858285,0.014621531
35,0.020395927,0.025235538,0.025235538,0.006321998
36,0.069163608,0.094660227,0.094660227,0.046040258
37,0.010416199,0.003765427,0.003765427,-0.009686417
38,0.037428058,-0.841409069,-0.841409069,0.003713849
39,0.019058834,0.025606449,0.025606449,0.00673881
40,0.048285864,0.032723375,0.032723375,0.002635871
42,0.016526269,0.009010703,0.009010703,0.002655549
43,0.046930752,0.062254755,0.062254755,0.006570123
45,0.000135089,-0.01348776,-0.01348776,-0.00130619
46,0.00911262,0.004870873,0.004870873,0.010285613
