permno,siccd
1,J66
2,K70
3,S90
4,C27
5,N77
6,K70
7,K70
8,C37
9,S90
10,E48
11,K70
12,C30
13,F51
14,K70
15,S90
16,C39
17,C37
18,E50
19,F51
20,C39
21,C39
22,G55
23,C30
24,K70
25,F51
26,F52
27,D44
28,F51
29,K70
30,C36
31,K70
32,F51
33,H61
34,F51
35,N77
36,K70
37,D44
38,L72
39,C33
40,D44
42,K70
43,K70
45,C39
46,J69
47,K70
48,C13
49,C38
50,C39
55,C33
56,L72
58,L72
59,C25
60,C32
61,L72
62,F51
63,C39
65,E48
66,C39
68,C39
69,K70
70,C38
78,F52
88,G54
89,G56
90,E48
96,F51
99,G56
100,C39
150,Q83
151,F51
153,C27
155,D44
156,R86
157,C35
158,I65
159,F51
166,J67
301,C28
333,C38
338,C36
400,C38
401,C30
402,K70
403,C27
404,C34
405,C32
406,B07
407,D45
408,C26
409,S90
410,C34
411,F51
412,S90
413,C39
415,L71
416,J69
417,F52
418,C38
419,F52
420,C28
421,D45
422,C26
423,C27
425,C35
426,B09
428,H61
429,G54
430,N78
488,C22
498,E48
501,F52
502,K70
503,I64
504,M75
505,C13
506,B09
507,G55
508,K70
509,C29
510,C26
511,C30
513,C27
514,K70
515,C26
516,Q83
517,K70
518,C27
519,C35
520,G55
521,C38
522,C27
523,C26
524,H61
525,C26
526,P82
527,C38
528,C35
529,C13
530,C34
531,D44
532,S90
533,C38
534,C27
535,C33
536,C39
537,K70
538,C27
539,D44
540,K70
541,C38
542,C39
543,D44
544,D46
545,C26
546,N77
547,C39
548,G54
549,C36
550,C36
551,S90
552,B06
553,C26
554,F51
555,I65
556,G55
557,G53
558,K70
559,C36
560,K70
561,C39
562,J67
563,J69
564,F52
565,C26
566,C27
567,J69
568,C15
569,C31
570,C34
571,S90
572,C36
573,K70
576,C22
578,C26
581,C36
582,G55
583,I65
584,C35
585,C38
586,C39
587,C41
588,A04
589,C29
590,C27
591,D44
592,A02
593,D45
594,F51
595,C34
596,C15
597,C27
